Hotspot,Median Collections per Species,Percent Species with Only 1 Collection,Percent Species < 5 Collections,Percent Widespread,Percent Narrow,Percent Linnaean Green,Percent Linnaean Orange,Percent Linnaean Red,Percent Wallacean Green,Percent Wallacean Orange,Percent Wallacean Red
Atlantic Forest,20,29.15,2.74,66.28,1.83,0.15,1.89,97.97,0.4,1.54,98.06
California Floristic Province,35,36.13,2.65,58.67,2.55,0.32,2.49,97.19,1.11,1.57,97.32
Cape Floristic Region,19,31.66,1.95,62.99,3.4,0.02,4.72,95.26,3.25,1.48,95.27
Caribbean Islands,13,35.2,3.17,58.49,3.14,0.12,1.65,98.22,0.17,1.52,98.31
Caucasus,13,36.52,2.48,59,2,0.02,1.1,98.87,0.19,0.92,98.9
Cerrado,15,35.51,2.69,60.16,1.64,0.26,2.06,97.67,0.6,1.61,97.79
Chilean Winter Rainfall and Valdivian Forests,11,45.42,1.92,51.43,1.22,0.09,0.61,99.3,0.09,0.52,99.39
Coastal Forests of Eastern Africa,9,48.06,2.16,48.27,1.51,0.15,0.78,99.07,0.05,0.78,99.17
East Melanesian Islands,10,46.61,1.54,50.72,1.13,0.5,0.88,98.62,0.19,0.82,99
Eastern Afromontane,11,36.39,3.41,57.77,2.44,0.38,2.26,97.35,0.42,1.91,97.66
Forests of East Australia,58,20.67,3.99,72.09,3.26,0.91,6.08,93.01,4.09,2.73,93.18
Guinean Forests of West Africa,19,27.69,2.17,68.74,1.39,0.22,1.41,98.37,0.36,1.08,98.56
Himalaya,13,50.76,1.21,46.87,1.16,0.03,3.1,96.86,2.48,0.63,96.89
Horn of Africa,8,52.74,2.94,42.2,2.12,0.39,1.24,98.36,0.06,1.21,98.73
Indo-Burma,15,41.41,1.2,56.71,0.69,0.04,1.79,98.17,1.19,0.61,98.2
Irano-Anatolian,7,60.17,2.44,35.84,1.55,0.11,0.85,99.04,0.17,0.74,99.09
Japan,77,21.74,1.88,74.52,1.86,0.1,2.2,97.7,1.02,1.24,97.75
Madagascar and the Indian Ocean Islands,17,26.12,3.57,67.91,2.4,0.21,2.8,96.99,0.63,2.21,97.16
Madrean Pine-Oak Woodlands,17,29.21,4.02,63.88,2.89,0.26,2.4,97.34,0.3,2.14,97.56
Maputaland-Pondoland-Albany,17,33.19,0.54,64.98,1.29,0.01,0.57,99.42,0.32,0.25,99.43
Mediterranean Basin,33,28.98,2.75,65.82,2.44,0.17,2.01,97.82,0.57,1.48,97.95
Mesoamerica,32,22.93,2.93,71.93,2.21,0.18,2.24,97.58,0.85,1.45,97.7
Mountains of Central Asia,8,54.31,0.98,43.93,0.78,0.06,0.54,99.4,0.27,0.3,99.43
Mountains of Southwest China,22,38.08,2.68,57.86,1.38,0.09,11.51,88.4,9.68,1.85,88.47
New Caledonia,19,29.7,5.58,59,5.72,0.17,6.24,93.59,2.05,4.26,93.69
New Zealand,21,39.34,4.12,54.91,1.63,0.15,3.26,96.59,0.68,2.67,96.65
North American Coastal Plain,20,38.79,1.72,58.52,0.97,0.13,0.91,98.96,0.18,0.74,99.08
Philippines,9,49.64,1.39,47.67,1.3,0.12,0.58,99.3,0.14,0.43,99.42
Polynesia-Micronesia,9,45.55,5.92,44.98,3.56,0.34,3.29,96.37,0.44,2.91,96.65
Southwest Australia,48,16.42,1.75,78.49,3.34,0.11,2.6,97.29,1.43,1.22,97.35
Succulent Karoo,11,52.17,0.87,44.97,1.99,0.01,1.52,98.47,1.08,0.44,98.48
Sundaland,16,37.6,1.43,59.93,1.04,0.11,1.14,98.75,0.44,0.75,98.82
Tropical Andes,14,33.97,2.56,61.57,1.91,0.2,1.35,98.45,0.28,1.13,98.59
Tumbes-Choco-Magdalena,11,43.09,3.78,50.63,2.5,0.51,2.13,97.35,0.32,1.98,97.71
Wallacea,10,48.52,1.39,48.88,1.21,0.02,0.8,99.19,0.13,0.69,99.19
Western Ghats and Sri Lanka,5,72.2,1.8,23.8,2.2,0,0.88,99.12,0.13,0.75,99.12
,,,,,,,,,,,
